Sample_number	Treatment	Akt1	BioAkt	CREB1	EGFR	ERK1	GSK3	MEK1	P70S6K	PRAS40	RS6
24	FGFRi 0.1uM	4283.499440089586	2746.0761478163495	5004.265397536395	320.3404255319149	605.3801791713327	148.57894736842107	7609.665733482643	2764.5167973124303	533.1982082866741	3529.5403135498323
25	DMSO	3214.652163519006	3739.9294764523074	4847.848434138179	415.0478125747072	588.8279942624911	146.22280659813532	7997.8251255080095	2619.075424336601	610.7614152522115	3592.0194836241935
26	EGFRi 1uM	2812.079303675049	626.9288630990759	3796.964324091984	208.3021706425962	118.81313131313132	91.00580270793039	2660.9085536213197	1954.096819256394	433.7943262411348	2891.456587148077
27	RAFi 1uM	3476.0749746707197	6730.962512664641	4182.540020263425	340.3617021276596	213.08358662613983	111.54711246200608	3979.943768996961	2353.453394123607	539.6210739614995	2926.443262411348
28	MEKi 0.02uM	3339.4711836397437	7234.872960132204	3993.564346209461	324.61681470770503	138.4966948977484	109.82544928733732	5182.6921090683745	2261.140776699029	532.6048337120429	3169.873476554431
29	ERKi 0.4uM	3097.5775075987845	7083.71833839919	3804.0425531914893	358.4761904761905	212.13019250253294	134.42857142857144	9188.3358662614	2219.9782168186425	564.4093211752787	2692.8617021276596
30	GSK3i 5uM	3193.4927322519484	3319.3690752053926	4342.238255740467	321.1333473772909	485.1690541394564	136.77901832736464	6723.481672635347	2101.7384663998314	521.3461133347377	3193.988308405308
31	IGF1Ri 10uM	2439.529423040061	261.5391987732413	3366.6407897258955	236.2871382020318	368.4095265478244	88.38221199923326	5467.522043319915	1414.5663216407895	310.2396013034311	1941.2521564117308
32	PI3Ki 2uM	1953.5323280313985	24.297665771534806	2918.635612476761	177.8589134476348	306.63654203676924	65.11774426771328	4803.6485230324315	851.8761619500103	126.347862011981	1277.5712662673002
33	AKTi 5uM	2402.5531914893622	16.54650958326007	3710.554774046071	226.68718129066298	449.65139792509245	99.27905749956042	6374.129154211361	1382.8745384209603	245.71566731141206	2268.112801125374
34	mTORi 0.3uM	1773.444270934999	13.776107749365606	2872.7776693343744	177.2525863751708	366.9036697247706	71.63576029670115	5484.2684950224475	748.0426507905524	155.21081397618582	1200.8173921530354
35	EGFRi 0.3uM + MEKi 0.002uM	2929.9177451195437	1351.9521824961614	3669.8793595086645	175.4441763544637	126.42300943189296	87.72208817723185	2457.766505812678	1742.573481026541	416.93792498354907	2428.8698179425314
36	EGFRi 0.3uM + ERKi 0.02uM	2857.2419964207593	1283.6070789421356	3583.2471664346785	175.8878504672897	136.12596937760986	89.81507257904155	2985.8833764167825	1760.2818651819446	451.88208391330284	2604.169317955856
37	MEKi 0.002uM + ERKi 0.02uM	2586.8612050109364	5910.018890435474	3629.090276396898	309.6748856631537	231.5544839928415	123.49572479618213	7327.880791409822	2088.668224299065	518.3078146748857	2475.995724796182
38	IGF1Ri 3uM + AKTi 1uM	2352.985953315431	24.297665771534806	3691.3013840115677	256.5833505474076	321.21514149969016	103.99400950216896	5130.209151001859	1335.8856641189836	233.25759140673415	2226.152137988019
39	IGF1Ri 3uM + mTORi 0.01 uM	1963.4727196123865	69.38066147040234	3283.6875921634714	241.8411628396882	370.19538655993256	93.16831683168316	5481.567832315146	989.6655782599536	235.894248999368	1982.8001895934271
40	AKTi 1uM + mTORi 0.01uM	2417.720825274017	79.88287126585	3977.9647539222015	257.84977433913605	450.4787234042554	107.18461207822911	6759.203202235118	1474.799591661294	176.9557274876424	2575.9698044272513
41	PI3Ki 1uM + mTORi 0.01uM	1708.6118570543276	109.82544928733732	3268.521999586862	218.67899194381326	364.9509398884528	88.44350340838669	5524.803243131584	872.2862011980995	238.1171245610411	1759.6369551745506
42	EGFRi 0.3uM + IGF1Ri 3uM	1417	35	2473	104	68.5	50	1498.5	891.5	74	1316.5
43	EGFRi 0.3uM + PI3Ki 1uM	915.9158718513086	48.32721936903889	2014.7847884568357	98.95573489850821	70.76485693323552	37.97138664710199	1402.0646857422355	479.2449254096357	102.40767913915384	1113.2520176082173
44	EGFRi 0.3uM + AKTi 1uM	2497.8351704691113	21.709817995385805	3734.0886952063584	179.7090489618047	206.84632145603697	82.01486798256859	3942.1411176621386	1546.8245321712386	227.95308895155094	2819.2610869007954
45	EGFRi 0.3uM + mTORi 0.01uM	2508.4128148691616	444.15015896307176	3147.022499388604	135.776473465395	138.65309366593303	67.8882367326975	2752.9255319148942	1231.7687698703842	283.0594277329421	1881.884935191979
46	MEKi 0.002uM + PI3Ki 1uM	2471.7625426845293	212.5715786708695	3642.1421066456537	248.41213553979517	283.63475177304974	95.16285789335437	5846.336354084583	1498.506041502496	348.5185185185186	2656.5267927501977
47	ERKi 0.02uM + PI3Ki 1uM	2592.878907276071	307.73443656422387	3943.6971368531663	308.97031783556616	300.93708957184145	129.76753349093778	9987.774494352512	1533.1107171000792	365.8208563173103	2666.413842920936
48	ERKi 0.02uM + AKTi 1uM	3686.270337922403	40.04255319148937	4700.2891113892365	338.00625782227786	349.19461827284107	143.68210262828538	11187.77158948686	2085.1570713391743	312.09637046307887	3221.6589486858575
