"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"54(1,F7)","Unknown56","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","12"
"57(1,A8)","Unknown29","NaN","2039","NaN","NaN","NaN","294","NaN","NaN","NaN","NaN","973","NaN","NaN","483","3795","NaN","NaN","NaN","NaN","167","NaN","6064","NaN","NaN","NaN","3062","NaN","NaN","NaN","NaN","3615.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3893"
"58(1,B8)","Unknown30","NaN","1825","NaN","NaN","NaN","252","NaN","NaN","NaN","NaN","788","NaN","NaN","402.5","3223","NaN","NaN","NaN","NaN","137","NaN","5891","NaN","NaN","NaN","2074","NaN","NaN","NaN","NaN","3214","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5252"
"59(1,C8)","Unknown31","NaN","960","NaN","NaN","NaN","177","NaN","NaN","NaN","NaN","388.5","NaN","284","314","1905","NaN","NaN","NaN","162","117","5129","5160","NaN","NaN","NaN","1530","NaN","NaN","NaN","2711.5","2673","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4425"
"60(1,D8)","Unknown32","NaN","911","NaN","NaN","NaN","145.5","NaN","NaN","NaN","NaN","347","NaN","90","191","2245","NaN","NaN","NaN","NaN","104","NaN","2528.5","NaN","NaN","NaN","1428","NaN","NaN","NaN","NaN","2188","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4899"
"65(1,A9)","Unknown33","NaN","1162","NaN","NaN","NaN","247","NaN","NaN","NaN","NaN","765","NaN","NaN","398","2659","NaN","NaN","NaN","NaN","146","NaN","5405","NaN","NaN","NaN","2161","NaN","NaN","NaN","NaN","2827.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4559"
"66(1,B9)","Unknown34","NaN","1268","NaN","NaN","NaN","226.5","NaN","NaN","NaN","NaN","566","NaN","NaN","362","2604.5","NaN","NaN","NaN","NaN","131","NaN","5496.5","NaN","NaN","NaN","2341.5","NaN","NaN","NaN","NaN","3019","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4710"
"67(1,C9)","Unknown35","NaN","1408","NaN","NaN","NaN","205","NaN","NaN","NaN","NaN","348.5","NaN","NaN","376","3020","NaN","NaN","NaN","NaN","136","NaN","6979.5","NaN","NaN","NaN","2384","NaN","NaN","NaN","NaN","3380","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5685"
"68(1,D9)","Unknown36","NaN","1076","NaN","NaN","NaN","154","NaN","NaN","NaN","NaN","706","NaN","NaN","185","2283","NaN","NaN","NaN","NaN","109","NaN","2539.5","NaN","NaN","NaN","1840","NaN","NaN","NaN","NaN","2349","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","6166"
"69(1,E9)","Unknown57","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1970","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1685","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","56"
