"Program","xPONENT","","MAGPIX"
"Build","4.2.1324.0"
"Date","07/12/2017","13:15"

"SN","MAGPX13254704"
"Batch","171207_Evert_wt_PAO"
"Version","1"
"Operator",""
"ComputerName","MAGPIX-PC"
"Country Code","809"
"ProtocolName","ProtAtOnce"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleVolume","100 uL"
"SampleWash","On"
"BatchStartTime","07/12/2017 13:22:56"
"BatchStopTime","07/12/2017 14:11:48"
"BatchDescription","<None>"
"ProtocolPlate","Name","BioPlex_FlatBottomPlate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","50"
"ProtocolReporterGain","N/A"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 07/12/2017 10:36:58"
"Last VER Verification","Passed 07/12/2017 10:38:03"
"Last Fluidics Test","Passed 07/12/2017 10:39:18"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B52774","25/02/2018","07/12/2017 10:36:58","25.6","25.6","25.6","25.6","202","234","433","433","0.00703","0.007","0.00387","0.11545","Pass","MAGPX13254704"


"Samples","60","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"27(1,C4)","Unknown15","NaN","2364","NaN","NaN","NaN","356","NaN","NaN","NaN","NaN","636","NaN","NaN","187","3292","NaN","NaN","NaN","NaN","170.5","NaN","5366","NaN","NaN","NaN","3464","NaN","NaN","NaN","NaN","4185.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4973"
"28(1,D4)","Unknown16","NaN","1496","NaN","NaN","NaN","277","NaN","NaN","NaN","NaN","263","NaN","NaN","490","2578","NaN","NaN","NaN","NaN","163","NaN","6718","NaN","NaN","NaN","2419","NaN","NaN","NaN","NaN","4011","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3906"
"33(1,A5)","Unknown17","NaN","2391","NaN","NaN","NaN","432","NaN","NaN","NaN","NaN","597","NaN","NaN","388","2790.5","NaN","NaN","NaN","NaN","205","NaN","9002","NaN","NaN","NaN","3647","NaN","NaN","NaN","NaN","4040","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3890"
"34(1,B5)","Unknown18","NaN","2710","NaN","NaN","NaN","388","NaN","NaN","NaN","NaN","603","NaN","NaN","424","3039.5","NaN","NaN","NaN","NaN","221.5","NaN","10059","NaN","NaN","NaN","4330","NaN","NaN","NaN","NaN","4707","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3577"
"35(1,C5)","Unknown19","NaN","2366.5","NaN","NaN","NaN","398.5","NaN","NaN","NaN","NaN","680","NaN","NaN","267","2855","NaN","NaN","NaN","NaN","198","NaN","9671","NaN","NaN","NaN","3277","NaN","NaN","NaN","NaN","4067","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5240"
"36(1,D5)","Unknown20","NaN","935","NaN","NaN","NaN","247","NaN","NaN","NaN","NaN","333","NaN","NaN","420","1841","NaN","NaN","NaN","NaN","148","NaN","5717.5","NaN","NaN","NaN","1786","NaN","NaN","NaN","NaN","3440","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5237"
"37(1,E5)","Unknown54","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1308","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","46"
"41(1,A6)","Unknown21","NaN","2260","NaN","NaN","NaN","380","NaN","NaN","NaN","NaN","619","NaN","NaN","543","3535.5","NaN","NaN","NaN","NaN","192","NaN","6897","NaN","NaN","NaN","3486","NaN","NaN","NaN","NaN","4472","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5441"
"42(1,B6)","Unknown22","NaN","2246","NaN","NaN","NaN","332","NaN","NaN","NaN","NaN","522.5","NaN","NaN","578","2893.5","NaN","NaN","NaN","NaN","197.5","NaN","7126","NaN","NaN","NaN","4262","NaN","NaN","NaN","NaN","4559","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4386"
"43(1,C6)","Unknown23","NaN","2157.5","NaN","NaN","NaN","345.5","NaN","NaN","NaN","NaN","614","NaN","NaN","533.5","3253","NaN","NaN","NaN","NaN","195","NaN","6817","NaN","NaN","NaN","3250","NaN","NaN","NaN","NaN","4458","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3561"
"44(1,D6)","Unknown24","NaN","929","NaN","NaN","NaN","125.5","NaN","NaN","NaN","NaN","162.5","NaN","NaN","113","1347","NaN","NaN","NaN","NaN","107","NaN","1532","NaN","NaN","NaN","1445","NaN","NaN","NaN","NaN","2550","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3305"
