Cell	Plate	Rep	Drug	Concentration	Viability	NormalizedViability
PI3K	2	1	IGF1R (OSI-906)	0.15	36959	0.9896164113367516
PI3K	2	1	IGF1R (OSI-906)	0.245	36997.5	0.9907174061642207
PI3K	2	1	IGF1R (OSI-906)	0.41	34591	0.92189808013034
PI3K	2	1	IGF1R (OSI-906)	0.675	34970.5	0.9327507434296783
PI3K	2	1	IGF1R (OSI-906)	1.11	35075.5	0.9357534565955031
PI3K	2	1	IGF1R (OSI-906)	1.835	35285	0.94174458429303
PI3K	2	1	IGF1R (OSI-906)	3.03	33530	0.8915563785213861
PI3K	2	1	IGF1R (OSI-906)	5	28380.5	0.7442947456888626
PI3K	2	1	mTORi (AZD8055)	0.001	37331	1.0002545951242452
PI3K	2	1	mTORi (AZD8055)	0.00175	33477	0.8900407233043508
PI3K	2	1	mTORi (AZD8055)	0.00275	30321.5	0.799802043354253
PI3K	2	1	mTORi (AZD8055)	0.0045	25978.5	0.6756041073620886
PI3K	2	1	mTORi (AZD8055)	0.0075	24284.5	0.627160334953448
PI3K	2	1	mTORi (AZD8055)	0.01225	21252	0.5404391189976022
PI3K	2	1	mTORi (AZD8055)	0.02025	16114.5	0.3935206533840299
PI3K	2	1	mTORi (AZD8055)	0.03325	14079.5	0.33532521250352004
PI3K	2	1	mTORi (AZD8055)	0.055	10654	0.23736527012701555
PI3K	2	1	mTORi (AZD8055)	0.09	8149	0.16572911317090877
PI3K	2	1	mTORi (AZD8055)	0.15	6552.5	0.12007357441624832
PI3K	2	1	mTORi (AZD8055)	0.245	6030.5	0.10514580039186201
PI3K	2	1	mTORi (AZD8055)	0.41	5064.5	0.07752083926627354
PI3K	2	1	mTORi (AZD8055)	0.675	5179	0.0807952264804349
PI3K	2	1	mTORi (AZD8055)	1.11	4750.5	0.06854129703704498
PI3K	2	1	mTORi (AZD8055)	1.835	5037	0.07673441438950988
PI3K	2	1	mTORi (AZD8055)	3.03	5291.5	0.08401241915810437
PI3K	2	1	mTORi (AZD8055)	5	5289.5	0.08395522462161246
PI3K	2	2	AKTi (MK2206)	0.001	38145	1.0235327714764493
PI3K	2	2	AKTi (MK2206)	0.00175	40339.5	1.0862894766421882
PI3K	2	2	AKTi (MK2206)	0.00275	38643.5	1.0377885096970558
PI3K	2	2	AKTi (MK2206)	0.0045	38929.5	1.0459673284153976
PI3K	2	2	AKTi (MK2206)	0.0075	37354	1.0009123322939022
PI3K	2	2	AKTi (MK2206)	0.01225	38780.5	1.041706335446751
PI3K	2	2	AKTi (MK2206)	0.02025	36779	0.9844689030524805
PI3K	2	2	AKTi (MK2206)	0.03325	39309.5	1.056834290348859
PI3K	2	2	AKTi (MK2206)	0.055	35784	0.9560146211477594
PI3K	2	2	AKTi (MK2206)	0.09	36128	0.9658520814243665
PI3K	2	2	AKTi (MK2206)	0.15	36466	0.9755179580914979
PI3K	2	2	AKTi (MK2206)	0.245	30896	0.8162311739615518
PI3K	2	2	AKTi (MK2206)	0.41	27857.5	0.7293383743962303
PI3K	2	2	AKTi (MK2206)	0.675	25570.5	0.6639364219177407
PI3K	2	2	AKTi (MK2206)	1.11	24706	0.6392140835191162
PI3K	2	2	AKTi (MK2206)	1.835	22820	0.585279635607253
PI3K	2	2	AKTi (MK2206)	3.03	18169	0.45227374099533585
PI3K	2	2	AKTi (MK2206)	5	11425	0.2594137639446436
PI3K	2	2	GSK3i (SB-216763)	0.001	37258	0.9981669945422909
PI3K	2	2	GSK3i (SB-216763)	0.00175	33952	0.9036244257211774
PI3K	2	2	GSK3i (SB-216763)	0.00275	34461	0.9181804352583663
PI3K	2	2	GSK3i (SB-216763)	0.0045	33880.5	0.9015797210415919
PI3K	2	2	GSK3i (SB-216763)	0.0075	31703	0.8393091694360341
PI3K	2	2	GSK3i (SB-216763)	0.01225	33593.5	0.8933723050550041
PI3K	2	2	GSK3i (SB-216763)	0.02025	32224	0.8542083461921745
PI3K	2	2	GSK3i (SB-216763)	0.03325	32369.5	0.8583692487219603
PI3K	2	2	GSK3i (SB-216763)	0.055	32787.5	0.8703229068487677
PI3K	2	2	GSK3i (SB-216763)	0.09	32295	0.8562387522376369
PI3K	2	2	GSK3i (SB-216763)	0.15	31081	0.8215216685870527
PI3K	2	2	GSK3i (SB-216763)	0.245	31866.5	0.843984822794247
PI3K	2	2	GSK3i (SB-216763)	0.41	32329	0.8572110593579992
PI3K	2	2	GSK3i (SB-216763)	0.675	34923.5	0.9314066718221187
PI3K	2	2	GSK3i (SB-216763)	1.11	34013.5	0.9053831577183034
PI3K	2	2	GSK3i (SB-216763)	1.835	33890	0.9018513950899285
PI3K	2	2	GSK3i (SB-216763)	3.03	36099.5	0.9650370592793569
PI3K	2	2	GSK3i (SB-216763)	5	34318	0.9140910258991954
PI3K	2	2	IGF1R (OSI-906)	0.001	36661.5	0.9811087240335812
PI3K	2	2	IGF1R (OSI-906)	0.00175	37906.5	1.01671232299979
PI3K	2	2	IGF1R (OSI-906)	0.00275	37300.5	0.9993823784427438
PI3K	2	2	IGF1R (OSI-906)	0.0045	36091	0.9647939824992663
PI3K	2	2	IGF1R (OSI-906)	0.0075	34658	0.9238140971028187
PI3K	2	2	IGF1R (OSI-906)	0.01225	36817.5	0.9855698978799495
PI3K	2	2	IGF1R (OSI-906)	0.02025	35213	0.9396855809793215
PI3K	2	2	IGF1R (OSI-906)	0.03325	35839	0.9575874709012867
PI3K	2	2	IGF1R (OSI-906)	0.055	34764	0.9268454075368895
PI3K	2	2	IGF1R (OSI-906)	0.09	33038.5	0.8775008211785014
PI3K	2	2	IGF1R (OSI-906)	0.15	34854	0.929419161679025
PI3K	2	2	IGF1R (OSI-906)	0.245	34026.5	0.9057549222055008
PI3K	2	2	IGF1R (OSI-906)	0.41	36713	0.9825814833482477
PI3K	2	2	IGF1R (OSI-906)	0.675	36657.5	0.9809943349605974
PI3K	2	2	IGF1R (OSI-906)	1.11	35654	0.9522969762757858
PI3K	2	2	IGF1R (OSI-906)	1.835	35065.5	0.9354674839130437
PI3K	2	2	IGF1R (OSI-906)	3.03	32614.5	0.8653755794422182
PI3K	2	2	IGF1R (OSI-906)	5	29414	0.7738500224210526
PI3K	2	2	mTORi (AZD8055)	0.001	38619	1.03708787662503
PI3K	2	2	mTORi (AZD8055)	0.00175	34492.5	0.9190812492081138
PI3K	2	2	mTORi (AZD8055)	0.00275	32259.5	0.8552235492149057
PI3K	2	2	mTORi (AZD8055)	0.0045	29039	0.7631260468288211
PI3K	2	2	mTORi (AZD8055)	0.0075	29394	0.7732780770561336
PI3K	2	2	mTORi (AZD8055)	0.01225	22765	0.5837067858537257
PI3K	2	2	mTORi (AZD8055)	0.02025	18568	0.4636840510254702
PI3K	2	2	mTORi (AZD8055)	0.03325	13859	0.3290195148552879
PI3K	2	2	mTORi (AZD8055)	0.055	12287.5	0.2840789078067762
PI3K	2	2	mTORi (AZD8055)	0.09	7914.5	0.15902305376723333
PI3K	2	2	mTORi (AZD8055)	0.15	6666.5	0.12333366299628672
PI3K	2	2	mTORi (AZD8055)	0.245	5959.5	0.1031153943463995
PI3K	2	2	mTORi (AZD8055)	0.41	5531	0.09086146490300959
PI3K	2	2	mTORi (AZD8055)	0.675	5087.5	0.0781785764359304
PI3K	2	2	mTORi (AZD8055)	1.11	4824.5	0.07065749488724535
PI3K	2	2	mTORi (AZD8055)	1.835	5100	0.07853604228900479
PI3K	2	2	mTORi (AZD8055)	3.03	5230	0.08225368716097839
PI3K	2	2	mTORi (AZD8055)	5	5327.5	0.0850419208149586
PI3K	2	3	AKTi (MK2206)	0.001	37037.5	0.9918612968940588
PI3K	2	3	AKTi (MK2206)	0.00175	40225.5	1.08302938806215
PI3K	2	3	AKTi (MK2206)	0.00275	37526	1.0058310624322058
PI3K	2	3	AKTi (MK2206)	0.0045	37658.5	1.0096202004747943
PI3K	2	3	AKTi (MK2206)	0.0075	34357.5	0.9152206179949105
PI3K	2	3	AKTi (MK2206)	0.01225	35447.5	0.946391640382997
PI3K	2	3	AKTi (MK2206)	0.02025	36805	0.9852124320268751
PI3K	2	3	AKTi (MK2206)	0.03325	34219.5	0.9112741949769693
PI3K	2	3	AKTi (MK2206)	0.055	34142.5	0.909072205322031
PI3K	2	3	AKTi (MK2206)	0.09	30484.5	0.804463398078343
PI3K	2	3	AKTi (MK2206)	0.15	30893	0.8161453821568139
PI3K	2	3	AKTi (MK2206)	0.245	28512.5	0.748069585097328
PI3K	2	3	AKTi (MK2206)	0.41	24949	0.6461632197028823
PI3K	2	3	AKTi (MK2206)	0.675	22757.5	0.5834923063418811
PI3K	2	3	AKTi (MK2206)	1.11	24848	0.6432748956100413
PI3K	2	3	AKTi (MK2206)	1.835	21427.5	0.5454579395747665
PI3K	2	3	AKTi (MK2206)	3.03	16522	0.4051740401942549
PI3K	2	3	AKTi (MK2206)	5	10801	0.24156906855917032
PI3K	2	3	GSK3i (SB-216763)	0.001	36913.5	0.9883152356315609
PI3K	2	3	GSK3i (SB-216763)	0.00175	35315.5	0.9426168009745315
PI3K	2	3	GSK3i (SB-216763)	0.00275	33234.5	0.8831058857547077
PI3K	2	3	GSK3i (SB-216763)	0.0045	36428.5	0.9744455605322747
PI3K	2	3	GSK3i (SB-216763)	0.0075	34226.5	0.9114743758546909
PI3K	2	3	GSK3i (SB-216763)	0.01225	33836.5	0.9003214412387701
PI3K	2	3	GSK3i (SB-216763)	0.02025	32060	0.8495183941998385
PI3K	2	3	GSK3i (SB-216763)	0.03325	32737.5	0.8688930434364701
PI3K	2	3	GSK3i (SB-216763)	0.055	33018.5	0.8769288758135824
PI3K	2	3	GSK3i (SB-216763)	0.09	33909	0.9023947431866015
PI3K	2	3	GSK3i (SB-216763)	0.15	33525.5	0.8914276908142794
PI3K	2	3	GSK3i (SB-216763)	0.245	35217	0.9397999700523053
PI3K	2	3	GSK3i (SB-216763)	0.41	36023.5	0.9628636668926646
PI3K	2	3	GSK3i (SB-216763)	0.675	35784.5	0.9560289197818824
PI3K	2	3	GSK3i (SB-216763)	1.11	34985.5	0.9331797024533676
PI3K	2	3	GSK3i (SB-216763)	1.835	34332.5	0.9145056862887617
PI3K	2	3	GSK3i (SB-216763)	3.03	36208	0.9681398628840425
PI3K	2	3	GSK3i (SB-216763)	5	33782	0.8987628901193658
PI3K	2	3	IGF1R (OSI-906)	0.001	35767.5	0.9555427662217012
PI3K	2	3	IGF1R (OSI-906)	0.00175	34748.5	0.9264021498790772
PI3K	2	3	IGF1R (OSI-906)	0.00275	35630.5	0.951624940472006
PI3K	2	3	IGF1R (OSI-906)	0.0045	34537.5	0.9203681262791816
PI3K	2	3	IGF1R (OSI-906)	0.0075	36823.5	0.9857414814894253
PI3K	2	3	IGF1R (OSI-906)	0.01225	35084.5	0.9360108320097167
PI3K	2	3	IGF1R (OSI-906)	0.02025	36130	0.9659092759608584
PI3K	2	3	IGF1R (OSI-906)	0.03325	35172	0.9385130929812375
PI3K	2	3	IGF1R (OSI-906)	0.055	36796.5	0.9849693552467846
PI3K	2	3	IGF1R (OSI-906)	0.09	34181	0.9101732001495002
PI3K	2	3	IGF1R (OSI-906)	0.15	33342	0.8861800920911475
PI3K	2	3	IGF1R (OSI-906)	0.245	35414	0.9454336318967576
PI3K	2	3	IGF1R (OSI-906)	0.41	36272.5	0.9699843866859064
PI3K	2	3	IGF1R (OSI-906)	0.675	34644.5	0.9234280339814983
PI3K	2	3	IGF1R (OSI-906)	1.11	34197.5	0.9106450550755584
PI3K	2	3	IGF1R (OSI-906)	1.835	31348.5	0.8291714378428445
PI3K	2	3	IGF1R (OSI-906)	3.03	31199	0.8248961462400749
PI3K	2	3	IGF1R (OSI-906)	5	29360	0.7723057699357713
PI3K	2	3	mTORi (AZD8055)	0.001	33125	0.8799744848817761
PI3K	2	3	mTORi (AZD8055)	0.00175	33529.5	0.8915420798872632
PI3K	2	3	mTORi (AZD8055)	0.00275	31177	0.8242670063386639
PI3K	2	3	mTORi (AZD8055)	0.0045	30100	0.7934677484377749
PI3K	2	3	mTORi (AZD8055)	0.0075	27362.5	0.7151827266144846
PI3K	2	3	mTORi (AZD8055)	0.01225	22419	0.5738121310406268
PI3K	2	3	mTORi (AZD8055)	0.02025	18725.5	0.46818812077420746
PI3K	2	3	mTORi (AZD8055)	0.03325	14326	0.3423744391261469
PI3K	2	3	mTORi (AZD8055)	0.055	11811.5	0.2704666081217036
PI3K	2	3	mTORi (AZD8055)	0.09	8247	0.16853164545901195
PI3K	2	3	mTORi (AZD8055)	0.15	7079	0.1351300361477414
PI3K	2	3	mTORi (AZD8055)	0.245	6243	0.11122271989412656
PI3K	2	3	mTORi (AZD8055)	0.41	5693	0.09549422235885362
PI3K	2	3	mTORi (AZD8055)	0.675	5398.5	0.0870723268604211
PI3K	2	3	mTORi (AZD8055)	1.11	4745.5	0.06839831069581523
PI3K	2	3	mTORi (AZD8055)	1.835	4916.5	0.07328844356587282
PI3K	2	3	mTORi (AZD8055)	3.03	5077.5	0.0778926037534709
PI3K	2	3	mTORi (AZD8055)	5	4958	0.07447523019807978
